,wine,wine_id,appellation,color,wine_type,regions,country,vintage,is_primeurs,score,confidence_index,journalist_count,avgPrcpFebruary,avgTempFebruary,avgPrcpMarch,avgTempMarch,avgPrcpApril,avgTempApril,avgPrcpMay,avgTempMay,avgPrcpJune,avgTempJune,avgPrcpJuly,avgTempJuly,avgPrcpAugust,avgTempAugust,avgPrcpSeptember,avgTempSeptember,avgPrcpOctober,avgTempOctober
22,"Alpha Omega, Chardonnay, White, Napa Valley",3221,Napa Valley,White,dry,California,Usa,2015,False,91.18,B,3,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
23,"Peter Michael Winery, Ma Belle-Fille Chardonnay, White, Knights Valley",114830,Knights Valley,White,dry,California,Usa,2015,False,94.72,B,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
24,"Peter Michael Winery, Mon Plaisir Chardonnay, White, Sonoma County",114832,Sonoma County,White,dry,California,Usa,2015,False,93.96,C+,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
25,"Peter Michael Winery, Belle Cote Chardonnay, White, Sonoma County",114819,Sonoma County,White,dry,California,Usa,2015,False,93.31,C+,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
26,"Peter Michael Winery, La Carriere Chardonnay, White, Knights Valley",114826,Knights Valley,White,dry,California,Usa,2015,False,92.93,B,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
27,"Peter Michael Winery, L'Apres-Midi Sauvignon Blanc, White, Knights Valley",114824,Knights Valley,White,dry,California,Usa,2015,False,91.91,A,5,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
28,"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,2014,False,90.18,B+,5,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
29,"Evening Land, White Label 'Seven Springs Vineyard - Summum' Chardonnay, White, Eola-Amity Hills",71176,Eola-Amity Hills,White,dry,Oregon,Usa,2014,False,94.15,B,4,0.4810659898477172,42,0.6331428571428606,49,0.18430939226519333,52,0.05984732824427485,60,0.04279411764705896,63,0.011870967741935492,72,0.0027999999999999943,72,0.0565562913907284,66,0.3469491525423732,59
30,"Evening Land, Gold Label Seven Springs Vineyard La Source Chardonnay, White, Eola-Amity Hills",71165,Eola-Amity Hills,White,dry,Oregon,Usa,2014,False,92.88,B+,5,0.4810659898477172,42,0.6331428571428606,49,0.18430939226519333,52,0.05984732824427485,60,0.04279411764705896,63,0.011870967741935492,72,0.0027999999999999943,72,0.0565562913907284,66,0.3469491525423732,59
32,"Domaine Serene, Clos Du Soleil Vineyard Chardonnay, White, Dundee Hills",65489,Dundee Hills,White,dry,Oregon,Usa,2015,False,92.87,B,3,0.6254545454545374,49,0.17986301369862864,51,0.08127208480565366,50,0.039885057471264314,60,0.013440860215053729,68,0.0001886792452830189,73,0.04084210526315777,71,0.07686695278969995,63,0.0074418604651162795,58
33,"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,2011,False,90.46,B,4,0.5922448979591844,48,0.5345454545454522,50,0.08692307692307696,55,0.2649999999999984,57,0.4716666666666668,62,0.0,65,0.0,65,0.0,66,0.3266129032258058,62
34,"Stag'S Leap Wine Cellars, Karia Chardonnay, White, Napa Valley",129796,Napa Valley,White,dry,California,Usa,2015,False,88.32,B+,5,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
35,"Ferrari-Carano, Dominique Vineyard Chardonnay, White, Russian River Valley",73116,Russian River Valley,White,dry,California,Usa,2015,False,89.63,B+,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
36,"Ferrari-Carano, Fiorella Vineyard Chardonnay, White, Russian River Valley",73120,Russian River Valley,White,dry,California,Usa,2015,False,89.22,B,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
37,"Ferrari-Carano, Emelia'S Cuvee Chardonnay, White, Russian River Valley",73119,Russian River Valley,White,dry,California,Usa,2015,False,88.67,B,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
38,"Ferrari-Carano, Reserve Chardonnay, White, Carneros",73129,Carneros,White,dry,California,Usa,2015,False,88.07,B,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
42,"Paul Hobbs, Cuvee Agustina Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113415,Sonoma Mountain,White,dry,California,Usa,2015,False,95.41,B,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
43,"Paul Hobbs, Edward James Estate Chardonnay, White, Russian River Valley",113417,Russian River Valley,White,dry,California,Usa,2015,False,94.15,B+,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
44,"Paul Hobbs, Ross Station Estatechardonnay, White, Russian River Valley",113427,Russian River Valley,White,dry,California,Usa,2015,False,93.42,A,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
45,"Paul Hobbs, Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113425,Sonoma Mountain,White,dry,California,Usa,2015,False,93.24,B,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
46,"Paul Hobbs, Ellen Lane Estate Vineyard Chardonnay, White, Russian River Valley",113418,Russian River Valley,White,dry,California,Usa,2015,False,93.14,B+,4,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
47,"Paul Hobbs, Chardonnay, White, Russian River Valley",113414,Russian River Valley,White,dry,California,Usa,2015,False,90.97,A+,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
48,"Truchard Vineyards, Chardonnay, White, Carneros",136966,Carneros,White,dry,California,Usa,2015,False,89.83,A,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
49,"Clos Du Val, Winemaker'S Signature Series Three Graces White Blend, White, Napa Valley",43845,Napa Valley,White,dry,California,Usa,2015,False,93.4,B,3,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
50,"Alpha Omega, Chardonnay, White, Napa Valley",3221,Napa Valley,White,dry,California,Usa,2014,False,90.88,B,4,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
51,"Beringer Vineyards, 'Luminus' Chardonnay, White, Oak Knoll District",10973,Oak Knoll District,White,dry,California,Usa,2015,False,90.14,B,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
53,"Stags' Leap Winery, Chardonnay, White, Napa Valley",129823,Napa Valley,White,dry,California,Usa,2014,False,88.16,B,3,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
54,"Mount Eden Vineyards, Chardonnay, White, Santa Cruz Mountains",107658,Santa Cruz Mountains,White,dry,California,Usa,2013,False,93.12,A,3,0.019852941176470587,51,0.05770491803278705,57,0.05148148148148137,60,0.0005797101449275362,62,0.006557377049180332,64,0.0009944751381215477,65,0.0,67,0.010784313725490192,66,0.002524271844660196,60
55,"Domaine Serene, 'Evenstad Reserve' Chardonnay, White, Dundee Hills",65476,Dundee Hills,White,dry,Oregon,Usa,2015,False,91.63,B,4,0.6254545454545374,49,0.17986301369862864,51,0.08127208480565366,50,0.039885057471264314,60,0.013440860215053729,68,0.0001886792452830189,73,0.04084210526315777,71,0.07686695278969995,63,0.0074418604651162795,58
56,"Keever Vineyards, Sauvignon Blanc, White, Napa Valley",90457,Napa Valley,White,dry,California,Usa,2015,False,91.41,A+,3,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
57,"Joseph Phelps Vineyards, Sauvignon Blanc, White, Napa Valley",89580,Napa Valley,White,dry,California,Usa,2015,False,91.33,B,3,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
58,"Flora Springs, Soliloquy Vineyard Sauvignon Blanc, White, Oakville",74748,Oakville,White,dry,California,Usa,2015,False,89.3,B,3,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
59,"Kenefick Ranch, Sauvignon Blanc, White, Napa Valley",90640,Napa Valley,White,dry,California,Usa,2015,False,88.51,B,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
60,"Duckhorn Vineyards, Sauvignon Blanc, White, Napa Valley",68067,Napa Valley,White,dry,California,Usa,2015,False,88.34,B+,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
61,"Girard, Sauvignon Blanc, White, Napa Valley",79047,Napa Valley,White,dry,California,Usa,2015,False,87.55,B+,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
63,"Clos Du Val, Winemaker'S Signature Series Three Graces White Blend, White, Napa Valley",43845,Napa Valley,White,dry,California,Usa,2014,False,90.61,C,3,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
64,"Peter Michael Winery, Cuvee Indigene Chardonnay, White, Sonoma County",114823,Sonoma County,White,dry,California,Usa,2014,False,94.83,B,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
65,"Aubert Wines, Ritchie Vineyard Chardonnay, White, Sonoma Coast",6887,Sonoma Coast,White,dry,California,Usa,2015,False,97.43,A+,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
66,"Aubert Wines, Uv-Sl Vineyards Chardonnay, White, Sonoma Coast",6893,Sonoma Coast,White,dry,California,Usa,2015,False,97.22,B,4,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
67,"Aubert Wines, Hudson Vineyard Chardonnay, White, Carneros",148030,Carneros,White,dry,California,Usa,2015,False,96.34,A,4,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
68,"Aubert Wines, Sugar Shack Estate Chardonnay, White, Napa Valley",6875,Napa Valley,White,dry,California,Usa,2015,False,95.64,B,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
69,"Aubert Wines, Larry Hyde & Sons Vineyard Chardonnay, White, Carneros",6880,Carneros,White,dry,California,Usa,2015,False,94.8,A,5,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
70,"Joseph Phelps Vineyards, Freestone Pastorale Vineyard Chardonnay, White, Sonoma Coast",89571,Sonoma Coast,White,dry,California,Usa,2013,False,91.58,B+,4,0.02911764705882355,64,0.025901639344262248,67,0.05388888888888889,75,0.008695652173913042,77,0.029508196721311487,82,0.0,85,0.0,83,0.025294117647058814,82,0.0,76
71,"Peter Michael Winery, Cuvee Indigene Chardonnay, White, Sonoma County",114823,Sonoma County,White,dry,California,Usa,2013,False,93.77,B,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
72,"Shafer Vineyards, Red Shoulder Ranch Chardonnay, White, Carneros",126751,Carneros,White,dry,California,Usa,2015,False,93.11,B,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
73,"Marimar Estate, 'Acero' Don Miguel Vineyard Chardonnay, White, Russian River Valley",101910,Russian River Valley,White,dry,California,Usa,2015,False,89.47,B,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
74,"Evening Land, Gold Label Seven Springs Vineyard La Source Chardonnay, White, Eola-Amity Hills",71165,Eola-Amity Hills,White,dry,Oregon,Usa,2013,False,91.27,C,3,0.1314705882352937,43,0.16950819672131148,47,0.18438271604938267,51,0.1710144927536229,58,0.04983606557377057,63,0.0,70,0.07499999999999972,70,0.4896078431372543,64,0.08132686084142404,51
75,"Alpha Omega, Chardonnay, White, Napa Valley",3221,Napa Valley,White,dry,California,Usa,2013,False,89.29,A,3,0.020147058823529386,49,0.033934426229508166,54,0.06555555555555563,60,0.007536231884057966,62,0.03311475409836065,65,0.0,65,0.0,66,0.03941176470588239,66,0.0,59
76,"Ramey Wine Cellars, Hyde Vineyard Chardonnay, White, Carneros",118765,Carneros,White,dry,California,Usa,2014,False,92.71,B+,3,0.3921319796954332,62,0.2008163265306116,70,0.05154696132596679,72,0.0,79,0.0,83,0.0,84,0.0012000000000000008,83,0.01192052980132451,83,0.01728813559322031,80
77,"Newton Vineyard, Unfiltered Chardonnay, White, Napa Valley",109014,Napa Valley,White,dry,California,Usa,2014,False,91.14,A,4,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
78,"Delille Cellars, Chaleur Estate Blanc, White, Columbia Valley",50042,Columbia Valley,White,dry,Washington,Usa,2015,False,90.68,B,5,0.04111111111111145,40,0.022100456621004527,48,0.012720848056537112,50,0.03034482758620687,63,0.009462365591397874,74,0.0035849056603773455,78,0.0,74,0.0,63,0.01395348837209304,55
79,"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,2014,False,92.78,B,4,0.3175126903553292,54,0.1934693877551021,60,0.06016574585635313,60,0.0,64,0.00044117647058823536,63,0.005032258064516137,67,0.0,67,0.032781456953642416,66,0.02847457627118645,65
80,"Ridge Vineyards Estate, Chardonnay, White, Santa Cruz Mountains",120758,Santa Cruz Mountains,White,dry,California,Usa,2015,False,92.58,A+,3,0.17474747474747232,58,0.01863013698630131,60,0.0962544169611311,59,0.002988505747126429,60,0.0006451612903225812,65,0.0011320754716981141,69,0.0009473684210526324,70,0.0006866952789699543,68,0.0055813953488371955,66
81,"Marcassin Estate, Chardonnay, White, Sonoma Coast",101634,Sonoma Coast,White,dry,California,Usa,2009,False,93.79,C+,3,0.4253043478260867,58,0.11213114754098373,64,0.02339999999999999,69,0.08527777777777779,76,0.006923076923076922,79,0.0,85,0.0,85,0.009375,87,0.14795918367346944,73
82,"Kistler Vineyards, Hudson Vineyard Chardonnay, White, Carneros",91298,Carneros,White,dry,California,Usa,2014,False,94.58,B+,4,0.3921319796954332,62,0.2008163265306116,70,0.05154696132596679,72,0.0,79,0.0,83,0.0,84,0.0012000000000000008,83,0.01192052980132451,83,0.01728813559322031,80
83,"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,2013,False,94.03,A,4,0.019852941176470587,51,0.05770491803278705,57,0.05148148148148137,60,0.0005797101449275362,62,0.006557377049180332,64,0.0009944751381215477,65,0.0,67,0.010784313725490192,66,0.002524271844660196,60
84,"Kongsgaard, Chardonnay, White, Napa Valley",91585,Napa Valley,White,dry,California,Usa,2014,False,93.52,B+,4,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
85,"Grgich Hills Estate, Paris Tasting Commemorative Chardonnay, White, Napa Valley",80587,Napa Valley,White,dry,California,Usa,2014,False,91.04,B+,3,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
86,"Etude, Grace Benoist Ranch Chardonnay, White, Carneros",71021,Carneros,White,dry,California,Usa,2014,False,88.45,B+,4,0.3921319796954332,62,0.2008163265306116,70,0.05154696132596679,72,0.0,79,0.0,83,0.0,84,0.0012000000000000008,83,0.01192052980132451,83,0.01728813559322031,80
87,"Rombauer Vineyards, Chardonnay, White, Carneros",122372,Carneros,White,dry,California,Usa,2015,False,88.23,C,3,0.10969696969696896,67,0.004748858447488577,72,0.040706713780918766,71,0.0,71,0.015161290322580668,84,0.0016981132075471685,86,0.0,86,0.0,87,0.0,82
88,"Ridge Vineyards Estate, Chardonnay, White, Santa Cruz Mountains",120758,Santa Cruz Mountains,White,dry,California,Usa,2014,False,93.11,A,4,0.3175126903553292,54,0.1934693877551021,60,0.06016574585635313,60,0.0,64,0.00044117647058823536,63,0.005032258064516137,67,0.0,67,0.032781456953642416,66,0.02847457627118645,65
89,"Silverado Vineyards, 'Vineburg Vineyard' Chardonnay, White, Carneros",127639,Carneros,White,dry,California,Usa,2013,False,87.35,C,3,0.02911764705882355,64,0.025901639344262248,67,0.05388888888888889,75,0.008695652173913042,77,0.029508196721311487,82,0.0,85,0.0,83,0.025294117647058814,82,0.0,76
90,"Silverado Vineyards, Miller Ranch Sauvignon Blanc, White, Napa Valley",127648,Napa Valley,White,dry,California,Usa,2014,False,87.21,B,3,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
91,"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,2014,False,96.85,B,3,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
92,"Delille Cellars, Doyenne Roussanne, White, Red Mountain",50050,Red Mountain,White,dry,Washington,Usa,2015,False,90.81,C+,3,0.022121212121212184,43,0.018173515981735097,50,0.0,51,0.08275862068965502,65,0.0002150537634408603,74,0.002264150943396218,77,0.0004210526315789476,73,0.0005150214592274682,62,0.002790697674418607,57
93,"Martinelli, Zio Tony Ranch Chardonnay, White, Russian River Valley",102677,Russian River Valley,White,dry,California,Usa,2014,False,94.48,A+,3,0.3921319796954332,62,0.2008163265306116,70,0.05154696132596679,72,0.0,79,0.0,83,0.0,84,0.0012000000000000008,83,0.01192052980132451,83,0.01728813559322031,80
94,"Martinelli, Lolita Ranch Chardonnay, White, Russian River Valley",102656,Russian River Valley,White,dry,California,Usa,2014,False,94.08,A+,3,0.3921319796954332,62,0.2008163265306116,70,0.05154696132596679,72,0.0,79,0.0,83,0.0,84,0.0012000000000000008,83,0.01192052980132451,83,0.01728813559322031,80
95,"Martinelli, Road' Chardonnay, White, Russian River Valley",102662,Russian River Valley,White,dry,California,Usa,2014,False,93.8,B,3,0.3921319796954332,62,0.2008163265306116,70,0.05154696132596679,72,0.0,79,0.0,83,0.0,84,0.0012000000000000008,83,0.01192052980132451,83,0.01728813559322031,80
96,"Pahlmeyer, Napa Valley Chardonnay, White, Napa Valley",111897,Napa Valley,White,dry,California,Usa,2014,False,93.25,B,4,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
97,"Forman Vineyard, Chardonnay, White, Napa Valley",75323,Napa Valley,White,dry,California,Usa,2015,False,91.82,B+,3,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
98,"Freemark Abbey, Chardonnay, White, Napa Valley",76832,Napa Valley,White,dry,California,Usa,2015,False,89.19,A+,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
99,"Ramey Wine Cellars, Hyde Vineyard Chardonnay, White, Carneros",118765,Carneros,White,dry,California,Usa,2013,False,92.32,B,3,0.02911764705882355,64,0.025901639344262248,67,0.05388888888888889,75,0.008695652173913042,77,0.029508196721311487,82,0.0,85,0.0,83,0.025294117647058814,82,0.0,76
100,"Beringer Vineyards, Private Reserve Chardonnay, White, Napa Valley",11030,Napa Valley,White,dry,California,Usa,2015,False,91.32,B,5,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
101,"Larkmead Vineyards, Lillie Sauvignon Blanc, White, Napa Valley",94122,Napa Valley,White,dry,California,Usa,2015,False,91.07,B,3,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
102,"Paul Hobbs, Cuvee Agustina Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113415,Sonoma Mountain,White,dry,California,Usa,2014,False,94.43,B,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
103,"Peter Michael Winery, Belle Cote Chardonnay, White, Sonoma County",114819,Sonoma County,White,dry,California,Usa,2014,False,94.42,B,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
104,"Paul Hobbs, Edward James Estate Chardonnay, White, Russian River Valley",113417,Russian River Valley,White,dry,California,Usa,2014,False,94.13,B+,4,0.3921319796954332,62,0.2008163265306116,70,0.05154696132596679,72,0.0,79,0.0,83,0.0,84,0.0012000000000000008,83,0.01192052980132451,83,0.01728813559322031,80
105,"Peter Michael Winery, Ma Belle-Fille Chardonnay, White, Knights Valley",114830,Knights Valley,White,dry,California,Usa,2014,False,94.12,B,4,0.4862436548223381,51,0.1779183673469391,57,0.13856353591160284,59,0.0,63,0.0,65,0.0,68,0.002,67,0.013973509933774872,66,0.03322033898305075,64
